card_id,name,item,amount,max_amount,duration,placement,range
CONJ_01,Small Branch,small_branch_1,,,,range,5
CONJ_02,Tree Core,tree_core_1,,,,range,5
CONJ_03,Pine Log,pine_log_1,,,,range,5
CONJ_04,Arboreal Essence,arboreal_essence_1,,,,range,5
CONJ_05,Berry Good Berries,berry_good_berries_1,5,5,,range,5
CONJ_06,Pinecone Branch,pinecone_branch_1,,,,equipment,1
CONJ_07,Bark Shield,bark_shield_1,,,,equipment,1
CONJ_08,Leaf Cloak,leaf_cloak_1,,,,equipment,1
CONJ_09,Timber Axe,timber_axe_1,,,,equipment,1
CONJ_10,Thorn Boots,thorn_boots_1,,,,equipment,1
CONJ_11,Mossy Chest,mossy_chest_1,,,,equipment,1
CONJ_12,Thorn Ring,thorn_ring_1,,,,equipment,1
CONJ_13,Boss Goblin Tooth,boss_goblin_tooth_1,,,,range,5
CONJ_14,Boss Goblin Bone,boss_goblin_bone_1,,,,range,5
CONJ_15,Boss Goblin Core,boss_goblin_core_1,,,,range,5
CONJ_16,Boss Goblin Blood,boss_goblin_blood_1,,,,range,5
CONJ_17,Coin Pouch,coin_pouch_1,,,,range,5
CONJ_18,Skull Helm,Skull_Helm_1,,,,equipment,1
CONJ_19,Sneaky Dagger,Sneaky_Dagger_1,,,,equipment,1
CONJ_20,Goblin Belt,Goblin_Belt_1,,,,equipment,1
CONJ_21,Patchwork Armor,Patchwork_Armor_1,,,,equipment,1
CONJ_22,Goblin Trap,Goblin_Trap_1,,,,range,5
CONJ_23,Boss Goblin Brew,Boss_Goblin_Brew_1,,,,equipment,1
CONJ_24,Boss Goblin Elixir,Boss_Goblin_Elixir_1,,,,equipment,1
CONJ_25,Boss Goblin Bow,Boss_Goblin_Bow_1,,,,equipment,1
CONJ_26,Boss Totem,Boss_Totem_1,,,,range,5
CONJ_27,,,,,,,
CONJ_28,,,,,,,
