card_id,name,type,rarity,consumable,Dropped From (Human readable),cost,flavor_text,Soul Card (Human Readable),Notes (Human Readable)
CONJ_01,Small Branch,conjuration,materials,TRUE,Aggressive Tree,1,Conjures a {name}. This consumes the card.,,
CONJ_02,Tree Core,conjuration,materials,TRUE,Aggressive Tree,1,Conjures a {name}. This consumes the card.,,
CONJ_03,Pine Log,conjuration,materials,TRUE,Aggressive Tree,1,Conjures a {name}. This consumes the card.,,
CONJ_04,Arboreal Essence,conjuration,materials,TRUE,Aggressive Tree,1,Conjures an {name}. This consumes the card.,,
CONJ_05,Berry Good Berries,conjuration,materials,TRUE,Aggressive Tree,1,Conjures {amount} {name}. This consumes the card.,,
CONJ_06,Pinecone Branch,conjuration,common,FALSE,Aggressive Tree,,Conjure a {name} that when waved aggressively will hurl a sharp pine cone dealing weapon damage.,,
CONJ_07,Bark Shield,conjuration,common,FALSE,Aggressive Tree,,Conjure a {name}. Defense equal to this cards level +1. Can be sacrificed to reduce the damage of the next attack by this cards level.,,
ATT_01,Enchanted Sap,attack,common,FALSE,Aggressive Tree,,Conjure some sap over a target. The targets movement is cut in half and their max damage is reduced to 1 for a round. Heal them to full and remove all monster/card inflicted debuffs at the end of their next turn.,,
ATT_02,Acid Body,attack,epic,FALSE,Acid Forest,,"Make an attack with DEX or MND, does {magic} (acid) effort. Range: {range}","No cooldown, body becomes like highly detailed acid, range increases to 120 ft. can control their body to melt or not melt things",can climb with no check by melting hand and foot holds
CONJ_08,Leaf Cloak,conjuration,common,FALSE,Aggressive Tree,,Conjure a {name}. While wearing this cloak you move silently and are camouflaged while in a forest. All stealth rolls are Easy while in a forest.,,
CONJ_09,Timber Axe,conjuration,rare,FALSE,Aggressive Tree,,Conjure a {name}. Deals weapon damage. Double effort against anything made of wood.,,
CONJ_10,Thorn Boots,conjuration,epic,FALSE,Aggressive Tree,,Conjure {name}. While wearing these {name} you can climb trees without a check and your movement cannot be reduced while in a forest.,,
CONJ_11,Mossy Chest,conjuration,epic,FALSE,Aggressive Tree,,"Conjure a shirt made from moss. While wearing the {name} you heal 1 every round. If knocked unconscious, this healing does not happen.",,
CONJ_12,Thorn Ring,conjuration,legendary,FALSE,Aggressive Tree,,Conjures a {name}. This item buffs your MND equal to the cards level.,,
ATT_03,Air Body,attack,epic,FALSE,Air Forest,,"Make an attack with DEX or CHA, does {weapon} (physical) effort. Range: {range}","No cooldown, body becomes 90% lighter and as long as they are carrying less than 10 bulk take no falling damage. Attack can instead be a 90 degree cone with a 15 ft range. Anything worn when stepping into the tower becomes air like and weighs 90% less.",Any gear handed off loses its weight reduction properties. Does not give extra carrying capacity. Any effects attempting to move the player are easy or at advantage.
CONJ_13,Boss Goblin Tooth,conjuration,materials,TRUE,Boss Goblin,1,Conjures a {name}. This consumes the card.,,
CONJ_14,Boss Goblin Bone,conjuration,materials,TRUE,Boss Goblin,1,Conjures a {name}. This consumes the card.,,
CONJ_15,Boss Goblin Core,conjuration,materials,TRUE,Boss Goblin,1,Conjures a {name}. This consumes the card.,,
CONJ_16,Boss Goblin Blood,conjuration,materials,TRUE,Boss Goblin,1,Conjures some {name}. This consumes the card.,,
ATT_04,Coin Pouch,attack,materials,TRUE,Boss Goblin,1,Conjures some coin. This consumes the card.,,
CONJ_18,Skull Helm,conjuration,common,FALSE,Boss Goblin,,Conjures a {name}. This helm has +1 defense.,"Limit changed to 2, they can be thrown up to 10ft/STR. If both are equipped then 1/round can make two attacks with one action.",
CONJ_19,Sneaky Dagger,conjuration,common,FALSE,Boss Goblin,,Conjures a {name}. This dagger deals {basic} damge. When flanking this dagger always does {ultimate},number of items effected changes to 2 per card level.,
CONJ_20,Goblin Belt,conjuration,common,FALSE,Boss Goblin,,"Conjures a {name}. While the belt is equipped, your carry limit is increased by 2 bulk.","Armor covers your body better, +4 DEF total",
CONJ_21,Patchwork Armor,conjuration,common,FALSE,Boss Goblin,,Conjures some {name}. This armor has +2 defense,,
CONJ_22,Goblin Trap,conjuration,rare,FALSE,Boss Goblin,,Conjure a trap within 5 squares of you. The trap is invisible to monsters and does basic+weapon damage to any monster stepping into its space (autohit) . Is only removed when a new trap is placed.,,
CONJ_23,Boss Goblin Brew,conjuration,rare,FALSE,Boss Goblin,,Conjures a {name}. This gives you +1 Str,,
CONJ_24,Boss Goblin Elixir,conjuration,rare,FALSE,Boss Goblin,,Conjures a {name}. This gives you +1 Dex,,
CONJ_25,Boss Goblin Bow,conjuration,epic,FALSE,Boss Goblin,,Conjures a {name}.This does weapon damage +1. Range of 120 ft. Does not require ammo.,,
CONJ_26,Boss Totem,conjuration,epic,FALSE,Boss Goblin,,"Conjures a {name}. This t gives all allies within range 2, 2 temp hp. Range is 10 squares. All enemies know that this totem is helping your party and will attack it if it is within their range, but will not seek it out. Totem has 2 hp.",,
SYS_CONJ_01,Thorn Patch,conjuration,system,FALSE,System,2,Summons a single {name}. The {name} deals 1 damage to any creature entering its space and will reduce movement by 1 square.,System card. Humans should not have access to this card.,
SYS_ATT_01,Summon Thorn Patches,attack,system,FALSE,System,2,Summons a small bunch of {SYS_CONJ_01.name}s.,System card. Humans should not have access to this card.,
CONJ_17,,,,,,,,,
