item_id, name, tags, slot,slots_used, flavor_text,notes
small_branch_1,Small Branch,,held,1,"A small branch, recently broken from a tree. Useful for kindling, crafting, or making something slightly more complicated than a stick.",
tree_core_1,Tree Core,,held,1,A dense knot of natural energy harvested from a tree. It contains all the good stuff that makes trees do their whole growing into giant plants thing.,
pine_log_1,Pine Log,,held,2,"A freshly cut length of pine, light and easy to work with. It smells considerably better than most things adventurers drag back from the wilderness.",
arboreal_essence_1,Arboreal Essence,,held,1,"A faintly green essence drawn from living trees. It carries the quiet strength of the forest, though it mostly just looks like glowing tree juice.",
berry_good_berries_1,Berry Good Berries,,held,1,A handful of perfectly ordinary berries. They're good berries. Really good berries. Possibly the berry-est berries you've ever seen.,
pinecone_branch_1,Pinecone Branch,weapon,held,1,A crooked branch covered in pinecones. Waving it aggressively seems to convince the pinecones that they have somewhere else to be.,
bark_shield_1,Bark Shield,shield,held,1,"A sturdy shield made from layered tree bark. Surprisingly tough, surprisingly light, and only slightly more comfortable than being hit by a tree.",
leaf_cloak_1,Leaf Cloak,cloak,back,1,"A cloak woven from leaves and forest growth. When worn, it seems to make the wearer blend into the surrounding forest as though they belong there.",
timber_axe_1,Timber Axe,weapon,held,1,A heavy axe designed for one purpose: cutting down trees. It is exceptionally good at doing exactly that.,
thorn_boots_1,Thorn Boots,boots,feet,1,Boots covered in sturdy thorns that bite into bark with every step. Trees make excellent ladders when you don't mind climbing them.,
mossy_chest_1,Mossy Chest,armor,body,1,A wooden-looking chestplate covered in soft green moss. It smells faintly of a forest floor after rain.,
thorn_ring_1,Thorn Ring,ring,ring,1,"A small ring wrapped in living thorns. They seem to prick the air around them, as though constantly searching for something to grow into.",
boss_goblin_tooth_1,Boss Goblin Tooth,,held,1,"A large, surprisingly sturdy goblin tooth. It probably saw some use before ending up here.",
boss_goblin_bone_1,Boss Goblin Bone,,held,1,"A goblin bone, somewhat larger and denser than usual. Perfectly good for whatever someone might need a goblin bone for.",
boss_goblin_core_1,Boss Goblin Core,,held,1,A dense core of concentrated goblin energy. It contains all the good stuff that makes goblins do their whole being obnoxious little monsters thing.,
boss_goblin_blood_1,Boss Goblin Blood,,held,1,"Goblin blood. It's thicker than you'd expect, and smells considerably worse than you'd hope.",
coin_pouch_1,Coin Pouch,,held,1,"A small pouch of coins. How much is in it? Well, that's the fun part.",
Skull_Helm_1,Skull Helm,helmet,head,1,"A battered helmet crowned with the skull of a goblin. Whether the skull belonged to a former enemy, former ally, or former owner is probably best left unanswered.",
Sneaky_Dagger_1,Sneaky Dagger,weapon,held,1,"A small, unassuming dagger with a wickedly narrow blade. It isn't much to look at until someone stops paying attention to where you're standing.",
Goblin_Belt_1,Goblin Belt,belt,waist,1,"A belt covered in little hooks, loops, pouches, and suspiciously specific tools. Nobody knows what half of them are for, but a goblin would probably insist they're all essential.",
Patchwork_Armor_1,Patchwork Armor,armor,body,1,"Leather armor assembled from whatever scraps happened to be available. No two pieces quite match, but somehow the whole mess holds together.",
Goblin_Trap_1,Goblin Trap,,,,"An elaborate contraption of ropes, sticks, pulleys, tripwires, counterweights, and several parts that appear to serve no purpose whatsoever. It is either an ingenious trap or a pile of garbage. Probably both.",
Boss_Goblin_Brew_1,Boss Goblin Brew,potion,extra,0,"A foul-smelling brew kept in a battered bottle. It tastes like someone dissolved a campfire in stale beer, but it seems to put some extra muscle behind whoever drinks it.",
Boss_Goblin_Elixir_1,Boss Goblin Elixir,potion,extra,0,"A strange greenish liquid in a tiny bottle. It tastes absolutely terrible, but somehow leaves the drinker feeling lighter, quicker, and considerably more awake.",
Boss_Goblin_Bow_1,Boss Goblin Bow,Weapon / ranged,held,2,A crude-looking goblin bow reinforced with scraps of metal and bone. The arrows it fires seem to hit just a little harder than they have any right to. There's probably something magical going on here. Probably.,
Boss_Totem_1,Boss Totem,,,,"A crude wooden totem covered in goblin carvings. When planted, it seems to draw the attention of anything nearby while making those around it strangely difficult to hurt. Goblins apparently discovered that the best defense is making yourself everyone else's problem.",
